20200420	GOT7 (갓세븐)	NOT BY THE MOON	male	랩/힙합	64	이스란,J.Y.PARKTHEASIANSOUL	HILO (Isaac Han),OKIRO,아론킴,J.Y.PARKTHEASIANSOUL,Jay & Rudy	JYP 엔터테인먼트	넌 내 안에 번져 와 어둠 속에서 널 찾은 순간 니 목소린 날 따뜻하게 에워싸 니 온길 느낄 때마다 소리 없이 스며 와 텅 빈 심장에 내 맘에 너를 채워가 아무 색 없던 매일 매일 너로 물들 내일 내일 이대로 날 Dye with you 나의 모든 게 너로부터 살아나 널 영원히 놓지 않을 거야 난 이제 다시 잡은 이 손을 놓지 마 너 없인 아무 의미가 없으니까 O swear not by the moon woah 달처럼 매일 변하는 Woah 그런 맹세하지 마 변치 않을 마지막 입맞춤이 아닐 거라면은 물들여줘 너로 날 Woah 물들어줘 나로 넌 Woah 너의 안에 내가 또 나의 안엔 네가 영원히 함께할 수 있도록 O Swear not by the moon 널 잃었던 맘의 얼룩 보기 싫은 이 흉터 I know 다시는 보지 않아도 되게 너로 다 물들여 줘 Yeah Yeah 이젠 알아 그 의미 I do 깨달았어 난 이미 I do 날 물들인 세상 속 You’re the reason why I’m alive 네 숨결 느낄 때마다 온몸으로 퍼져가 Yeah 텅 빈 심장에 내 맘에 너를 채워가 아무 색 없던 매일 매일 너로 물들 내일 내일 이대로 날 Dye with you 나의 모든 게 너로부터 살아나 널 영원히 놓지 않을 거야 난 이제 다시 잡은 이 손을 놓지 마 너 없인 아무 의미가 없으니까 O swear not by the moon woah 달처럼 매일 변하는 Woah 그런 맹세하지 마 변치 않을 마지막 입맞춤이 아닐 거라면은 물들여줘 너로 날 Woah 물들어줘 나로 넌 Woah 너의 안에 내가 또 나의 안엔 네가 영원히 함께할 수 있도록 O Swear not by the moon 영원히 함께 할 수 있도록 영원히 내 안에 네가 O swear not by the moon Woah O swear not by the moon 날 물들여줘 O swear not by the moon woah 달처럼 매일 변하는 Woah 그런 맹세하지 마 변치 않을 마지막 입맞춤이 아닐 거라면은 O Swear not by the moon O Swear not by the moon O Swear not by the moon woah 
20191104	GOT7 (갓세븐)	니가 부르는 나의 이름	male	댄스	98	Kass,이스란,J.Y. Park `The Asiansoul`,DEFSOUL	Louis Schoorl & MAG,Benjamin Ingrosso,Louis Schoorl,David Brook,Marco Borrero	JYP 엔터테인먼트	널 울려버린 내가 참 미웠었어 상처만 남긴 실수를 원망했어 이제 너 없인 의미를 잃은 이름 다시 불러줘 치명적인 내 Mistake 니가 없는 나는 Fake 빛이 없는 하늘 Black 의미조차 없는 매일 Oh 철없던 Bad guy Oh 널 울린 대가 Oh oh girl 떠나지 말고 돌아와줘 I was a fool 니가 사라진 이후로 사라져 나의 이유도 그땐 미처 몰랐어 Oh yeah yeah yeah 니가 부르는 나의 이름이 듣고 싶어 너의 그 목소리 몰랐어 얼마나 그리워할지 돌아와줘 Please give me one more chance 불완전했던 내가 널 만난 뒤 완성을 꿈꿔 퍼즐을 찾은 듯이 너여야만 해 Ay 선명해진 기억 느끼고 있어 난 너라는 기적 니가 내 이름 부른 순간 이제서야 나는 의미를 찾았어 내 마음 밝혀주는 너의 Flashlight 밤하늘 별빛 수놓았던 Your eyes 내 귀를 타고 전해지는 목소리와 나를 숨 쉬게 한 것 모두 너인 걸 마지막 조각은 너 날 완성시켜줘 나의 전부는 너 When you call my name 설렜던 그 날의 빛도 영원을 말한 약속도 아직 내 안에 있어 Oh yeah yeah yeah 니가 부르는 나의 이름이 듣고 싶어 너의 그 목소리 몰랐어 얼마나 그리워할지 돌아와줘 Please give me one more chance Call out my name 날 불러줘 Call out my name Oh when you call my name You're a part of me You and me We are one You are the reason for my life If you're not here I'm not here 같은 꿈 같은 추억들 닮아간 많은 습관들 모든 의미가 너야 니가 부르는 나의 이름이 듣고 싶어 너의 그 목소리 몰랐어 얼마나 그리워할지 돌아와줘 Please give me one more chance Call out my name 날 불러줘 Call out my name Oh when you call my name Call out my name 날 불러줘 Call out my name Oh when you call my name 
20190520	GOT7 (갓세븐)	ECLIPSE	male	댄스	65	디함,J.Y. Park `The Asiansoul`,DEFSOUL,문한미루,Mirror Boy	NeD(3scape),디함,Yosia(3scape),Daviid(3scape),DEFSOUL,문 킴 (Moon Kim),문한미루,VENDORS,Mirror Boy	JYP 엔터테인먼트	여전히 나를 비춰 주는 넌 항상 기적 같아 변함없는 나의 마음인데 자신 있던 내 모습이 어딨는지 잘 안 보여 난 네 안식처가 돼 줄 수 있을까 어떨 땐 나 자신이 겁이 날 때도 있어 조급한 내 책임감 속에 네가 다치진 않을까 걱정돼 너라는 빛에 그림자가 점점 덮이면 I can’t see 다시 혼란스러워져 나답지 않게 아직도 내게 미소 지어 주는 널 It’s you 지켜 낼 수가 있을까 I’m afraid Here I go again No 또다시 어둠이 내 마음에 밀려와 나는 비틀거리고 우리의 꿈은 조금씩 흐려져 가 벗어나야만 해 어둠이 삼키기 전에 이겨내려 몸부림쳐 중심을 잡아 너라는 빛을 끝까지 잡아 I’m gonna win this fight 감당이 안돼 내 어깨 위의 무게 네가 소중해질수록 난 더 두려워지네 그림자에 덮여질 때 내 맘은 흔들리네 커져가는 불안 Get away 넌 나 하나 믿고 있는데 우리 둘이면 충분해 우린 둘이선 완벽해 너와 나 그리고 나와 너 우린 이미 하난데 내가 말한 것들 연기처럼 흩어져 잡고 있던 너도 사라질까 두려워져 너에게 나는 어떤 의미인 걸까 I don’t know 내겐 확신이 필요해 맘 변하지 않게 나에게 너는 나의 모든 것이기에 Trust me 끝까지 널 놓진 않아 Never let you go Here I go again No 또다시 어둠이 내 마음에 밀려와 나는 비틀거리고 우리의 꿈은 조금씩 흐려져 가 벗어나야만 해 어둠이 삼키기 전에 이겨내려 몸부림쳐 중심을 잡아 너라는 빛을 끝까지 잡아 I’m gonna win this fight 내 곁에만 머물러줘 방황하는 고민들마저 모두 너를 위한 것뿐이야 파도처럼 밀려오는 너를 과연 난 담아낼 수 있을까 이런 내 불안한 모습들은 널 떠나보내지는 않을까 바보 같아 보일 순 있겠지만 너 때문에 지금에 난 Here I go again No 또다시 어둠이 내 마음에 밀려와 나는 비틀거리고 우리의 꿈은 조금씩 흐려져 가 벗어나야만 해 어둠이 삼키기 전에 이겨내려 몸부림쳐 중심을 잡아 너라는 빛을 끝까지 잡아 I’m gonna win this fight 
20181203	GOT7 (갓세븐)	Lullaby	male	댄스	19	진리 (Full8loom)	진리 (Full8loom),영광의 얼굴들 (Full8loom),Jake K (ARTiffect)	JYP 엔터테인먼트	한낮에 꾸는 꿈 믿기지 않을 뿐 여전히 난 거짓말 같아 눈 떠보면 너의 품 안도의 한숨 Girl 네가 부르는 내 이름 뭐든 널 거치면 아름다워져 새로 피어나 I bloom Bloom 놀라워 넌 뭘 좀 알아 갈수록 더 더 Fallin' 두근거림은 멈추지 않아 매일 더 해 Girl 속삭이는 모든 언어들 감미롭게 날 파고들어 막을 수 없어 막을 생각 없어 계속해서 널 찾고 있는 건 나야 한시도 떨어질 수 없어 계속해서 널 곁에 두고 싶어 Sweet talk to me babe It's magical Sweet lullaby 매일매일 더 원해 Sweet talk to me babe It's magical 헤어날 수 없어 너에게서 네게 취한 듯이 끌려 이 기분이 계속될 수 있게 I want it I want it 무거워진 눈이 감겨 이 순간이 영원할 수 있게 I want it I want it You make me ay ay ay You make me 스르르 천천히 잠들어 You make me ay ay ay 다정히 불어오는 바람처럼 머릴 쓰다듬는 손길 조금 날이 선 햇빛 나른한 이 분위기 완벽해 두근거림은 멈추지 않아 매일 더 해 네가 가린 손에 어두워져도 It's okay 어둠도 밝게 느껴지는 이유 그건 It's you 막을 생각 없어 계속해서 널 찾고 있는 건 나야 한시도 떨어질 수 없어 계속해서 널 곁에 두고 싶어 Sweet talk to me babe It's magical Sweet lullaby 매일매일 더 원해 Sweet talk to me babe It's magical 헤어날 수 없어 너에게서 네게 취한 듯이 끌려 이 기분이 계속될 수 있게 I want it I want it 무거워진 눈이 감겨 이 순간이 영원할 수 있게 I want it I want it 꿈이라면 날 깨우지 말아줘 철없이 영원을 바래 끝없이 너를 원해 달콤한 목소리로 가득 채워줘 지금 이 순간 Stay with me Sweet talk to me babe It's magical Sweet lullaby 매일매일 더 원해 Sweet talk to me babe It's magical 깨어날 수 없어 너에게서 Sweet talk to me babe It's magical 
20180917	GOT7 (갓세븐)	Lullaby	male	댄스	19	진리 (Full8loom)	진리 (Full8loom),영광의 얼굴들 (Full8loom),Jake K (ARTiffect)	JYP 엔터테인먼트	한낮에 꾸는 꿈 믿기지 않을 뿐 여전히 난 거짓말 같아 눈 떠보면 너의 품 안도의 한숨 Girl 네가 부르는 내 이름 뭐든 널 거치면 아름다워져 새로 피어나 I bloom Bloom 놀라워 넌 뭘 좀 알아 갈수록 더 더 Fallin' 두근거림은 멈추지 않아 매일 더 해 Girl 속삭이는 모든 언어들 감미롭게 날 파고들어 막을 수 없어 막을 생각 없어 계속해서 널 찾고 있는 건 나야 한시도 떨어질 수 없어 계속해서 널 곁에 두고 싶어 Sweet talk to me babe It's magical Sweet lullaby 매일매일 더 원해 Sweet talk to me babe It's magical 헤어날 수 없어 너에게서 네게 취한 듯이 끌려 이 기분이 계속될 수 있게 I want it I want it 무거워진 눈이 감겨 이 순간이 영원할 수 있게 I want it I want it You make me ay ay ay You make me 스르르 천천히 잠들어 You make me ay ay ay 다정히 불어오는 바람처럼 머릴 쓰다듬는 손길 조금 날이 선 햇빛 나른한 이 분위기 완벽해 두근거림은 멈추지 않아 매일 더 해 네가 가린 손에 어두워져도 It's okay 어둠도 밝게 느껴지는 이유 그건 It's you 막을 생각 없어 계속해서 널 찾고 있는 건 나야 한시도 떨어질 수 없어 계속해서 널 곁에 두고 싶어 Sweet talk to me babe It's magical Sweet lullaby 매일매일 더 원해 Sweet talk to me babe It's magical 헤어날 수 없어 너에게서 네게 취한 듯이 끌려 이 기분이 계속될 수 있게 I want it I want it 무거워진 눈이 감겨 이 순간이 영원할 수 있게 I want it I want it 꿈이라면 날 깨우지 말아줘 철없이 영원을 바래 끝없이 너를 원해 달콤한 목소리로 가득 채워줘 지금 이 순간 Stay with me Sweet talk to me babe It's magical Sweet lullaby 매일매일 더 원해 Sweet talk to me babe It's magical 깨어날 수 없어 너에게서 Sweet talk to me babe It's magical 
20180312	GOT7 (갓세븐)	너 하나만 (Feat. 효린)	male	R&B/Soul	70	JB (GOT7)	심은지,Louise Frick Sveen,Fredrik `Figge` Bostrom,Albin Nordqvist	JYP 엔터테인먼트	What I think it’s stuck 너만 있으면 되는 거야 Yeah 모든 걸 주고 싶어서 Yo baby 너와 어디든지 가고 싶어 everywhere 난 네가 원한다면 주고 싶어 anything 말해줘 다 뭘 하든지 just for you 지구 반대편이라도 원하면 just go 솔직히 나 원하는 거 하나 없는걸 너와 함께하면 되는걸 Monday to Sunday 네가 보고 싶을 땐 늘 뭐든지 주고 싶단 말 음 너로 정할게 그럼 너에게 내 맘을 다 바쳐 전하고 싶어 It’s okay 난 너 하나면 돼 다른 건 보이지도 않아 Don’t worry baby 어디든 뭘 하든 난 너만 있으면 okay I just want you 난 너 하나면 돼 누군가 내게 다가와도 Don’t worry babe 머릿속엔 너뿐이야 특별한 선물 그런 것들 다 필요 없어 모든 걸 주고 싶어서 충분해 이미 이대로 다른 건 이젠 생각 마 my boy 내 맘은 너로 가득 차고 넘쳐나 난 너만으로도 넌 나면 된다 더 바라는 건 없대 말해달라 해도 늘 똑같은 답만 하네 girl what you mean 솔직히 말해도 괜찮아 난 다 준비 돼 있어 So can you tell me what you think now 뭐든지 주고 싶단 말 음 너로 정할게 그럼 너에게 내 맘을 다 바쳐 전하고 싶어 It’s okay 난 너 하나면 돼 다른 건 보이지도 않아 Don’t worry baby 어디든 뭘 하든 난 너만 있으면 okay I just want you 난 너 하나면 돼 누군가 내게 다가와도 Don’t worry babe 머릿속엔 너뿐이야 특별한 선물 그런 것들 다 필요 없어 더 이상 바랄 것도 없어 나를 알잖아 그냥 옆에 있어 주면 행복한 날 알잖아 초조해서 자꾸 그러는 게 아니야 너 때문에 설렌 내 마음을 더 표현하려는 거야 It’s okay 난 너 하나면 돼 다른 건 보이지도 않아 Don’t worry baby 어디든 뭘 하든 난 너만 있으면 okay I just want you 난 너 하나면 돼 누군가 내게 다가와도 Don’t worry babe 머릿속엔 너뿐이야 특별한 선물 그런 것들 다 필요 없어 
20180312	GOT7 (갓세븐)	Look	male	댄스	13	문한미루,JB (GOT7),디함,Mirror Boy	이상철,디함,문한미루,JB (GOT7),Mirror Boy	JYP 엔터테인먼트	어딜 봐 여길 봐 내가 앞에 있잖아 딴생각하는 게 다 눈에 보이는데 괜히 걱정 하지 마 내가 옆에 있어 줄 테니까 Don’t worry 나를 믿어 Yeah yeah yeah 아직도 모르겠니 불안해 보이는 너의 눈빛 Ready ready begin 내 눈에 빠져봐 hurry Don’t you worry we can make it make it 두려움이 밀려오면 just 나를 봐봐 너를 향한 믿음이 very 넘치니까 Don’t be afraid 맘이 섭섭해지니까 그저 같은 마음이길 바라니까 느껴지는 내 모습 그대로 날 믿어줄래 두려울 필요 없으니 그 눈 속에서 나를 찾고 싶어 바라봐줘 그래 그렇게 You look at me now Oh 시선을 맞추고 익숙해질 때까지 나만 보일 때까지 눈 돌리지마 이 대로 눈 맞춰줘 누가 뭐라 한대도 우릴 떼 놓을 순 없어 귀찮은 소음은 꺼두길 바라 My my eyes on you 머릿속을 비워 just for me 텅텅 어차피 난 오직 너뿐 believe it Your eyes on me 네 시선을 only 내게만 둬 대체 너는 걱정 하는 시간 얼마나 되는 거야 question 나는 너를 괴롭히는 것들과의 전투를 준비 중이야 yes sir 네 기분에 따라 내 기분도 변함 슬퍼하는 네 모습에 너무나 열 받아 백사장에 파도처럼 다 지워버려 너의 고민 no more 이제 행복만 남은걸 괜찮아 가끔 잠시 멈칫해도 고민 안 해 이겨 낼 거라 믿으니 아무 일도 없었던 것처럼 날 바라봐줘 그래 그렇게 You look at me now Oh 시선을 맞추고 익숙해질 때까지 나만 보일 때까지 눈 돌리지마 이 대로 눈 맞춰줘 누가 뭐라 한대도 우릴 떼 놓을 순 없어 함께 하고 싶어 모든 걸 내일을 생각하고 서로를 바라보고 너로 가득 찬 내 맘을 아직 모르겠다면 You look at me now Oh 시선을 맞추고 익숙해질 때까지 나만 보일 때까지 눈 돌리지마 이 대로 눈 맞춰줘 누가 뭐라 한대도 우릴 떼 놓을 순 없어 귀찮은 소음은 꺼두길 바라 My my eyes on you 머릿속을 비워 just for me 텅텅 어차피 난 오직 너뿐 believe it Your eyes on me 네 시선을 only 내게만 둬 
20171010	GOT7 (갓세븐)	You Are	male	댄스	12	문한미루,JB (GOT7),디함,Mirror Boy	문한미루,JB (GOT7),디함,Mirror Boy	JYP 엔터테인먼트	무의미한 하루에 익숙해질 때 지쳐 있을 때쯤에 난 눈감고 널 상상해 가슴이 뛰는 게 더 크게 느껴지고 있어 baby 하루의 반 이상이 비어버린 느낌 채워도 채워지지 않는 내 맘의 깊이 Getting bigger deeper and wider 지금 내 기분 like before the sun up 갈 길을 잃어 혼란스러 머리가 아파 지쳐 가면 축 늘어 져있는 내 손을 잡아 따뜻하게 나를 꽉 감싸 안아 늘 앞만 보고 달려 와서 숨 쉬기 벅차올 때 넌 나의 하늘이 돼줘 It's a beautiful sky 맑게 갠 하늘 like you There is not a cloud 너 때문에 난 세상이 다르게 느껴져 비가 오고 있어 내 하루는 다른 사람들은 못 보지 내 하늘을 I can’t breathe I can’t eat I can’t sleep 널 만나기 전에 난 완전히 망가진 이제 난 괜찮아 feel alright 손 닿는 곳에 서있어 언제나 구름에 가려져 있던 니 모습이 보이면 난 갈 길을 잃어 혼란스러 머리가 아파 지쳐 가면 내 모든 아픔을 다 가져가 go away 다친 상처는 아물어가 너의 손길에 늘 앞만 보고 달려 와서 현실에 부딪힐 때 니가 내 길이 돼줘 It's a beautiful sky 맑게 갠 하늘 like you There is not a cloud 너 때문에 난 세상이 다르게 느껴져 너는 기쁠 때 바라 볼 하늘 힘들 땐 비로 내려줘 네 아픔의 반을 내일 나의 하늘엔 너로 가득해 I don’t need anything but you understand 지금처럼 넌 내 옆에만 있어줘 따스하게 바라봐줘 이대로 날 모르겠지만 니 존재 만으로 난 살아 숨쉬는걸 느껴 Beautiful sky 맑게 갠 하늘 눈물 따윈 없는 There is not a cloud 너 때문에 난 세상이 다르게 느껴져 
20170313	GOT7 (갓세븐)	Never Ever	male	댄스	5	유근,zomay,박진영,earattack	박진영,5$,유근,zomay,earattack	JYP 엔터테인먼트	많이 기다렸지 I'm so sorry 나 이제 결심 했지 Are you ready 꽤나 길었지 나의 방황이 이젠 걱정하지마 다신 가지 않을 테니 부를 때 마다 난 없었지 Silence 걱정 마 도착했으니 Shall we dance 축배를 들자 이젠 내 손 잡아 오늘부턴 내가 널 절대로 놓지 않아 시작 됐어 둘만의 Romance 넌 준비 됐어 난 준비 됐어 두려움은 없어 망설일 필요 없어 Let's go up up 우리 둘만의 Love 시작 됐어 둘만의 Romance 넌 준비 됐어 난 준비 됐어 두려움은 없어 망설일 필요 없어 Let's go up up 우리 둘만의 Love Never Ever Ever gonna let you go 다시 너를 떠나지 않아 걱정하지마 Baby you're mine mine mine Never Ever Ever gonna make you cry 다시 울리지 않아 걱정하지마 Baby you're mine Baby you're mine 많이 고민했던 만큼 이젠 확실해 All in 나의 모든 것을 베팅해 결심해 지금부터 영원까지 I'm yours You're mine woh 우리 맹세해볼까 Let's try it 마음에 계약을 해 Let's sign it Get the ink Get the pen 나는 망설임이 없어 이제 이제 시작 됐어 둘만의 Romance 넌 준비 됐어 난 준비 됐어 두려움은 없어 망설일 필요 없어 Let's go up up 우리 둘만의 Love 시작 됐어 둘만의 Romance 넌 준비 됐어 난 준비 됐어 두려움은 없어 망설일 필요 없어 Let's go up up 우리 둘만의 Love Never Ever Ever gonna let you go 다시 너를 떠나지 않아 걱정하지마 Baby you're mine mine mine Never Ever Ever gonna make you cry 다시 울리지 않아 걱정하지마 Baby you're mine Baby you're mine 매일 밤 혼란스러웠어 아직 내가 널 지켜줄 자신이 없어 하지만 시간이 갈 수록 분명히 더 선명히 I missed you girl 계속 떠오르잖아 날 보던 네 눈빛이 Baby you belong to me Never Ever Ever gonna let you go 다시 너를 떠나지 않아 걱정하지마 Baby you're mine mine mine Never Ever Ever gonna make you cry 다시 울리지 않아 걱정하지마 Baby you're mine Baby you're mine 난 NEVER EVER EVER NEVER EVER 난 NEVER EVER EVER NEVER EVER 난 NEVER EVER EVER NEVER EVER 난 NEVER EVER EVER NEVER EVER 
20160927	GOT7 (갓세븐)	하드캐리	male	랩/힙합	3	유근,earattack	유근,리시,earattack	JYP 엔터테인먼트	하드캐리해 WOH 하드캐리해 Welcome to my world let’s do this 이슈제조기라 불러 I’m so ill 어딜가도 분위기 Go higher 비행기 밖은 너무 시끄러워 과열 내 안부는 Everybody knows it 하지만 아직 배 안 불러 Hungry 어떤 일에도 기죽지 않아 이걸 한 단어로 표현 패기 나 한번 뜨면 게임 다 정리돼 원하는 걸 전부 다 갖게 돼 물 타는 법을 알아 난 오늘도 할 일 해 하드캐리해 Let’s fly again fly again fly again I got this right 내일 일은 걱정 마 오늘은 내가 오직 널 하드캐리해 하드캐리해 Let it flow let it flow now 흔들었다 들었다 놔 하드캐리해 Let it flow let it flow now 흔들었다 들었다 놔 하드캐리해 난 게임에서 진적이 없어 매번 끝장을 봐 passion이 넘쳐 거품이 살짝 낀 우린 노는 데는 안 지는 실력 있는 겜블러 분위기 패스워드 아이디는 저장 많은 사람 오늘도 날 불러 무대가 끝나고 다시 비행기로 구름보다 편한 침대가 없어 나 한번 뜨면 게임 다 정리돼 원하는 걸 전부 다 갖게 돼 물 타는 법을 알아 난 오늘도 할 일 해 하드캐리해 Let’s fly again fly again fly again I got this right 내일 일은 걱정 마 오늘은 내가 오직 널 하드캐리해 하드캐리해 Let it flow let it flow now 흔들었다 들었다 놔 하드캐리해 Let it flow let it flow now 흔들었다 들었다 놔 하드캐리해 If you wanna get this 하던 대로 해 아무 상관 말고 될 대로 되라 그래 어둠 속에 환한 빛이 되어볼래 I just wanna blow your mind I just wanna show my mind 하드캐리해 하드캐리해 하드캐리해 하드캐리해 하드캐리해 하드캐리해 하드캐리해 하드캐리해 하드캐리해 하드캐리해 
